Time [s]	Pos_0_x [m]	Pos_0_y [m]	Pos_0_z [m]	Pos_x [m]	Pos_y [m]	Pos_z [m]	Force_x [N]	Force_y [N]	Force_z [N]
Force Directions: 3	 A_f: 1.000000	 Movement Directions: 2
0.000000	0.670831	0.000000	0.532982	0.670831	0.000000	0.532982	0.000000	0.000000	0.000000
0.005000	0.670831	0.000003	0.532982	0.670831	0.000000	0.532982	0.000000	0.000000	0.000015
0.010000	0.670831	0.000012	0.532982	0.670831	0.000000	0.532982	0.000000	0.000000	0.000062
0.015000	0.670831	0.000028	0.532982	0.670831	0.000000	0.532982	0.000000	0.000000	0.000139
0.020000	0.670831	0.000049	0.532982	0.670832	0.000000	0.532982	0.000000	0.000000	0.000247
0.025000	0.670831	0.000077	0.532982	0.670832	0.000001	0.532982	0.000000	0.000000	0.000385
0.030000	0.670831	0.000111	0.532982	0.670832	0.000001	0.532983	0.000000	0.000000	0.000555
0.035000	0.670831	0.000151	0.532982	0.670832	0.000003	0.532983	0.000000	0.000000	0.000755
0.040000	0.670831	0.000197	0.532982	0.670832	0.000004	0.532983	0.000000	0.000000	0.000987
0.045000	0.670831	0.000250	0.532982	0.670832	0.000007	0.532984	0.000000	0.000000	0.001249
0.050000	0.670831	0.000308	0.532982	0.670832	0.000010	0.532984	0.000000	0.000000	0.001541
0.055000	0.670831	0.000373	0.532982	0.670832	0.000014	0.532985	0.000000	0.000000	0.001865
0.060000	0.670831	0.000444	0.532982	0.670832	0.000020	0.532986	0.000000	0.000000	0.002219
0.065000	0.670831	0.000521	0.532982	0.670832	0.000027	0.532987	0.000000	0.000000	0.002604
0.070000	0.670831	0.000604	0.532982	0.670833	0.000036	0.532989	0.000000	0.000000	0.003020
0.075000	0.670831	0.000693	0.532982	0.670833	0.000046	0.532990	0.000000	0.000000	0.003466
0.080000	0.670831	0.000789	0.532982	0.670833	0.000058	0.532992	0.000000	0.000000	0.003943
0.085000	0.670831	0.000890	0.532982	0.670834	0.000073	0.532995	0.000000	0.000000	0.004450
0.090000	0.670831	0.000998	0.532982	0.670834	0.000089	0.532997	0.000000	0.000000	0.004988
0.095000	0.670831	0.001111	0.532982	0.670835	0.000108	0.533000	0.000000	0.000000	0.005557
0.100000	0.670831	0.001231	0.532982	0.670836	0.000130	0.533003	0.000000	0.000000	0.006156
0.105000	0.670831	0.001357	0.532982	0.670836	0.000155	0.533007	0.000000	0.000000	0.006785
0.110000	0.670831	0.001489	0.532982	0.670837	0.000183	0.533011	0.000000	0.000000	0.007445
0.115000	0.670831	0.001627	0.532982	0.670838	0.000213	0.533015	0.000000	0.000000	0.008136
0.120000	0.670831	0.001771	0.532982	0.670839	0.000248	0.533019	0.000000	0.000000	0.008856
0.125000	0.670831	0.001921	0.532982	0.670839	0.000285	0.533024	0.000000	0.000000	0.009607
0.130000	0.670831	0.002078	0.532982	0.670840	0.000327	0.533029	0.000000	0.000000	0.010389
0.135000	0.670831	0.002240	0.532982	0.670841	0.000372	0.533035	0.000000	0.000000	0.011200
0.140000	0.670831	0.002408	0.532982	0.670842	0.000421	0.533041	0.000000	0.000000	0.012042
0.145000	0.670831	0.002583	0.532982	0.670844	0.000475	0.533047	0.000000	0.000000	0.012913
0.150000	0.670831	0.002763	0.532982	0.670845	0.000532	0.533053	0.000000	0.000000	0.013815
0.155000	0.670831	0.002949	0.532982	0.670846	0.000594	0.533060	0.000000	0.000000	0.014747
0.160000	0.670831	0.003142	0.532982	0.670847	0.000661	0.533067	0.000000	0.000000	0.015708
0.165000	0.670831	0.003340	0.532982	0.670848	0.000732	0.533075	0.000000	0.000000	0.016700
0.170000	0.670831	0.003544	0.532982	0.670850	0.000807	0.533082	0.000000	0.000000	0.017721
0.175000	0.670831	0.003754	0.532982	0.670851	0.000888	0.533090	0.000000	0.000000	0.018772
0.180000	0.670831	0.003971	0.532982	0.670853	0.000974	0.533098	0.000000	0.000000	0.019853
0.185000	0.670831	0.004193	0.532982	0.670854	0.001064	0.533106	0.000000	0.000000	0.020964
0.190000	0.670831	0.004421	0.532982	0.670856	0.001160	0.533115	0.000000	0.000000	0.022103
0.195000	0.670831	0.004655	0.532982	0.670857	0.001261	0.533123	0.000000	0.000000	0.023273
0.200000	0.670831	0.004894	0.532982	0.670859	0.001368	0.533132	0.000000	0.000000	0.024472
0.205000	0.670831	0.005140	0.532982	0.670860	0.001479	0.533141	0.000000	0.000000	0.025700
0.210000	0.670831	0.005391	0.532982	0.670862	0.001597	0.533150	0.000000	0.000000	0.026957
0.215000	0.670831	0.005649	0.532982	0.670863	0.001719	0.533159	0.000000	0.000000	0.028244
0.220000	0.670831	0.005912	0.532982	0.670865	0.001848	0.533169	0.000000	0.000000	0.029560
0.225000	0.670831	0.006181	0.532982	0.670866	0.001982	0.533178	0.000000	0.000000	0.030904
0.230000	0.670831	0.006456	0.532982	0.670868	0.002121	0.533188	0.000000	0.000000	0.032278
0.235000	0.670831	0.006736	0.532982	0.670870	0.002267	0.533197	0.000000	0.000000	0.033680
0.240000	0.670831	0.007022	0.532982	0.670871	0.002418	0.533207	0.000000	0.000000	0.035112
0.245000	0.670831	0.007314	0.532982	0.670873	0.002575	0.533216	0.000000	0.000000	0.036572
0.250000	0.670831	0.007612	0.532982	0.670875	0.002738	0.533226	0.000000	0.000000	0.038060
0.255000	0.670831	0.007915	0.532982	0.670876	0.002907	0.533235	0.000000	0.000000	0.039577
0.260000	0.670831	0.008225	0.532982	0.670878	0.003082	0.533245	0.000000	0.000000	0.041123
0.265000	0.670831	0.008539	0.532982	0.670879	0.003262	0.533254	0.000000	0.000000	0.042696
0.270000	0.670831	0.008860	0.532982	0.670881	0.003449	0.533264	0.000000	0.000000	0.044298
0.275000	0.670831	0.009186	0.532982	0.670882	0.003642	0.533273	0.000000	0.000000	0.045928
0.280000	0.670831	0.009517	0.532982	0.670884	0.003841	0.533283	0.000000	0.000000	0.047586
0.285000	0.670831	0.009854	0.532982	0.670885	0.004045	0.533292	0.000000	0.000000	0.049272
0.290000	0.670831	0.010197	0.532982	0.670887	0.004256	0.533301	0.000000	0.000000	0.050986
0.295000	0.670831	0.010546	0.532982	0.670888	0.004473	0.533310	0.000000	0.000000	0.052728
0.300000	0.670831	0.010899	0.532982	0.670890	0.004696	0.533319	0.000000	0.000000	0.054497
0.305000	0.670831	0.011259	0.532982	0.670891	0.004925	0.533328	0.000000	0.000000	0.056293
0.310000	0.670831	0.011623	0.532982	0.670893	0.005160	0.533337	0.000000	0.000000	0.058117
0.315000	0.670831	0.011994	0.532982	0.670894	0.005401	0.533346	0.000000	0.000000	0.059968
0.320000	0.670831	0.012369	0.532982	0.670895	0.005649	0.533354	0.000000	0.000000	0.061847
0.325000	0.670831	0.012750	0.532982	0.670896	0.005902	0.533363	0.000000	0.000000	0.063752
0.330000	0.670831	0.013137	0.532982	0.670898	0.006161	0.533371	0.000000	0.000000	0.065684
0.335000	0.670831	0.013529	0.532982	0.670899	0.006426	0.533379	0.000000	0.000000	0.067643
0.340000	0.670831	0.013926	0.532982	0.670900	0.006698	0.533387	0.000000	0.000000	0.069629
0.345000	0.670831	0.014328	0.532982	0.670901	0.006975	0.533395	0.000000	0.000000	0.071641
0.350000	0.670831	0.014736	0.532982	0.670902	0.007259	0.533403	0.000000	0.000000	0.073680
0.355000	0.670831	0.015149	0.532982	0.670903	0.007548	0.533411	0.000000	0.000000	0.075745
0.360000	0.670831	0.015567	0.532982	0.670904	0.007843	0.533418	0.000000	0.000000	0.077836
0.365000	0.670831	0.015991	0.532982	0.670904	0.008145	0.533426	0.000000	0.000000	0.079953
0.370000	0.670831	0.016419	0.532982	0.670905	0.008452	0.533433	0.000000	0.000000	0.082096
0.375000	0.670831	0.016853	0.532982	0.670906	0.008765	0.533440	0.000000	0.000000	0.084265
0.380000	0.670831	0.017292	0.532982	0.670907	0.009084	0.533447	0.000000	0.000000	0.086460
0.385000	0.670831	0.017736	0.532982	0.670907	0.009409	0.533454	0.000000	0.000000	0.088680
0.390000	0.670831	0.018185	0.532982	0.670908	0.009740	0.533461	0.000000	0.000000	0.090925
0.395000	0.670831	0.018639	0.532982	0.670908	0.010076	0.533468	0.000000	0.000000	0.093196
0.400000	0.670831	0.019098	0.532982	0.670909	0.010419	0.533474	0.000000	0.000000	0.095492
0.405000	0.670831	0.019562	0.532982	0.670909	0.010767	0.533481	0.000000	0.000000	0.097812
0.410000	0.670831	0.020032	0.532982	0.670909	0.011121	0.533487	0.000000	0.000000	0.100158
0.415000	0.670831	0.020506	0.532982	0.670909	0.011481	0.533493	0.000000	0.000000	0.102528
0.420000	0.670831	0.020984	0.532982	0.670910	0.011846	0.533499	0.000000	0.000000	0.104922
0.425000	0.670831	0.021468	0.532982	0.670910	0.012217	0.533506	0.000000	0.000000	0.107342
0.430000	0.670831	0.021957	0.532982	0.670910	0.012594	0.533512	0.000000	0.000000	0.109785
0.435000	0.670831	0.022450	0.532982	0.670910	0.012976	0.533518	0.000000	0.000000	0.112252
0.440000	0.670831	0.022949	0.532982	0.670909	0.013364	0.533523	0.000000	0.000000	0.114743
0.445000	0.670831	0.023452	0.532982	0.670909	0.013757	0.533529	0.000000	0.000000	0.117258
0.450000	0.670831	0.023959	0.532982	0.670909	0.014156	0.533535	0.000000	0.000000	0.119797
0.455000	0.670831	0.024472	0.532982	0.670908	0.014561	0.533541	0.000000	0.000000	0.122359
0.460000	0.670831	0.024989	0.532982	0.670908	0.014971	0.533546	0.000000	0.000000	0.124944
0.465000	0.670831	0.025511	0.532982	0.670907	0.015386	0.533552	0.000000	0.000000	0.127553
0.470000	0.670831	0.026037	0.532982	0.670907	0.015807	0.533558	0.000000	0.000000	0.130184
0.475000	0.670831	0.026568	0.532982	0.670906	0.016233	0.533563	0.000000	0.000000	0.132839
0.480000	0.670831	0.027103	0.532982	0.670905	0.016664	0.533569	0.000000	0.000000	0.135516
0.485000	0.670831	0.027643	0.532982	0.670904	0.017101	0.533574	0.000000	0.000000	0.138215
0.490000	0.670831	0.028187	0.532982	0.670903	0.017543	0.533580	0.000000	0.000000	0.140937
0.495000	0.670831	0.028736	0.532982	0.670902	0.017990	0.533586	0.000000	0.000000	0.143681
0.500000	0.670831	0.029289	0.532982	0.670901	0.018443	0.533591	0.000000	0.000000	0.146447
0.505000	0.670831	0.029847	0.532982	0.670900	0.018900	0.533597	0.000000	0.000000	0.149234
0.510000	0.670831	0.030409	0.532982	0.670898	0.019363	0.533602	0.000000	0.000000	0.152044
0.515000	0.670831	0.030975	0.532982	0.670897	0.019831	0.533608	0.000000	0.000000	0.154874
0.520000	0.670831	0.031545	0.532982	0.670896	0.020304	0.533614	0.000000	0.000000	0.157726
0.525000	0.670831	0.032120	0.532982	0.670894	0.020782	0.533619	0.000000	0.000000	0.160600
0.530000	0.670831	0.032699	0.532982	0.670892	0.021265	0.533625	0.000000	0.000000	0.163494
0.535000	0.670831	0.033282	0.532982	0.670890	0.021752	0.533631	0.000000	0.000000	0.166409
0.540000	0.670831	0.033869	0.532982	0.670889	0.022245	0.533637	0.000000	0.000000	0.169344
0.545000	0.670831	0.034460	0.532982	0.670887	0.022743	0.533643	0.000000	0.000000	0.172300
0.550000	0.670831	0.035055	0.532982	0.670885	0.023245	0.533649	0.000000	0.000000	0.175276
0.555000	0.670831	0.035654	0.532982	0.670882	0.023753	0.533655	0.000000	0.000000	0.178272
0.560000	0.670831	0.036258	0.532982	0.670880	0.024265	0.533661	0.000000	0.000000	0.181288
0.565000	0.670831	0.036865	0.532982	0.670878	0.024782	0.533667	0.000000	0.000000	0.184324
0.570000	0.670831	0.037476	0.532982	0.670875	0.025303	0.533673	0.000000	0.000000	0.187379
0.575000	0.670831	0.038091	0.532982	0.670873	0.025830	0.533680	0.000000	0.000000	0.190453
0.580000	0.670831	0.038709	0.532982	0.670870	0.026361	0.533686	0.000000	0.000000	0.193546
0.585000	0.670831	0.039332	0.532982	0.670867	0.026896	0.533693	0.000000	0.000000	0.196659
0.590000	0.670831	0.039958	0.532982	0.670865	0.027436	0.533699	0.000000	0.000000	0.199790
0.595000	0.670831	0.040588	0.532982	0.670862	0.027981	0.533706	0.000000	0.000000	0.202939
0.600000	0.670831	0.041221	0.532982	0.670859	0.028530	0.533713	0.000000	0.000000	0.206107
0.605000	0.670831	0.041859	0.532982	0.670856	0.029083	0.533720	0.000000	0.000000	0.209293
0.610000	0.670831	0.042499	0.532982	0.670852	0.029641	0.533727	0.000000	0.000000	0.212497
0.615000	0.670831	0.043144	0.532982	0.670849	0.030204	0.533734	0.000000	0.000000	0.215719
0.620000	0.670831	0.043792	0.532982	0.670846	0.030770	0.533741	0.000000	0.000000	0.218958
0.625000	0.670831	0.044443	0.532982	0.670842	0.031341	0.533748	0.000000	0.000000	0.222215
0.630000	0.670831	0.045098	0.532982	0.670839	0.031916	0.533756	0.000000	0.000000	0.225489
0.635000	0.670831	0.045756	0.532982	0.670835	0.032496	0.533763	0.000000	0.000000	0.228779
0.640000	0.670831	0.046417	0.532982	0.670831	0.033080	0.533771	0.000000	0.000000	0.232087
0.645000	0.670831	0.047082	0.532982	0.670827	0.033667	0.533778	0.000000	0.000000	0.235410
0.650000	0.670831	0.047750	0.532982	0.670823	0.034259	0.533786	0.000000	0.000000	0.238751
0.655000	0.670831	0.048421	0.532982	0.670819	0.034855	0.533794	0.000000	0.000000	0.242107
0.660000	0.670831	0.049096	0.532982	0.670815	0.035455	0.533802	0.000000	0.000000	0.245479
0.665000	0.670831	0.049773	0.532982	0.670811	0.036060	0.533810	0.000000	0.000000	0.248867
0.670000	0.670831	0.050454	0.532982	0.670806	0.036668	0.533819	0.000000	0.000000	0.252271
0.675000	0.670831	0.051138	0.532982	0.670802	0.037280	0.533827	0.000000	0.000000	0.255689
0.680000	0.670831	0.051825	0.532982	0.670797	0.037895	0.533835	0.000000	0.000000	0.259123
0.685000	0.670831	0.052514	0.532982	0.670793	0.038515	0.533844	0.000000	0.000000	0.262572
0.690000	0.670831	0.053207	0.532982	0.670788	0.039139	0.533853	0.000000	0.000000	0.266035
0.695000	0.670831	0.053903	0.532982	0.670783	0.039766	0.533861	0.000000	0.000000	0.269513
0.700000	0.670831	0.054601	0.532982	0.670778	0.040397	0.533870	0.000000	0.000000	0.273005
0.705000	0.670831	0.055302	0.532982	0.670773	0.041031	0.533879	0.000000	0.000000	0.276511
0.710000	0.670831	0.056006	0.532982	0.670768	0.041670	0.533888	0.000000	0.000000	0.280030
0.715000	0.670831	0.056713	0.532982	0.670763	0.042312	0.533897	0.000000	0.000000	0.283564
0.720000	0.670831	0.057422	0.532982	0.670757	0.042957	0.533906	0.000000	0.000000	0.287110
0.725000	0.670831	0.058134	0.532982	0.670752	0.043606	0.533916	0.000000	0.000000	0.290670
0.730000	0.670831	0.058849	0.532982	0.670747	0.044259	0.533925	0.000000	0.000000	0.294243
0.735000	0.670831	0.059566	0.532982	0.670741	0.044915	0.533935	0.000000	0.000000	0.297828
0.740000	0.670831	0.060285	0.532982	0.670735	0.045574	0.533944	0.000000	0.000000	0.301426
0.745000	0.670831	0.061007	0.532982	0.670730	0.046237	0.533954	0.000000	0.000000	0.305036
0.750000	0.670831	0.061732	0.532982	0.670724	0.046903	0.533963	0.000000	0.000000	0.308658
0.755000	0.670831	0.062458	0.532982	0.670718	0.047573	0.533973	0.000000	0.000000	0.312292
0.760000	0.670831	0.063188	0.532982	0.670712	0.048245	0.533983	0.000000	0.000000	0.315938
0.765000	0.670831	0.063919	0.532982	0.670706	0.048921	0.533993	0.000000	0.000000	0.319595
0.770000	0.670831	0.064653	0.532982	0.670700	0.049600	0.534003	0.000000	0.000000	0.323263
0.775000	0.670831	0.065388	0.532982	0.670694	0.050282	0.534013	0.000000	0.000000	0.326941
0.780000	0.670831	0.066126	0.532982	0.670687	0.050967	0.534023	0.000000	0.000000	0.330631
0.785000	0.670831	0.066866	0.532982	0.670681	0.051656	0.534033	0.000000	0.000000	0.334331
0.790000	0.670831	0.067608	0.532982	0.670674	0.052347	0.534044	0.000000	0.000000	0.338041
0.795000	0.670831	0.068352	0.532982	0.670668	0.053041	0.534054	0.000000	0.000000	0.341762
0.800000	0.670831	0.069098	0.532982	0.670661	0.053738	0.534064	0.000000	0.000000	0.345492
0.805000	0.670831	0.069846	0.532982	0.670655	0.054438	0.534075	0.000000	0.000000	0.349231
0.810000	0.670831	0.070596	0.532982	0.670648	0.055141	0.534085	0.000000	0.000000	0.352980
0.815000	0.670831	0.071348	0.532982	0.670641	0.055847	0.534095	0.000000	0.000000	0.356738
0.820000	0.670831	0.072101	0.532982	0.670634	0.056555	0.534106	0.000000	0.000000	0.360504
0.825000	0.670831	0.072856	0.532982	0.670627	0.057266	0.534117	0.000000	0.000000	0.364280
0.830000	0.670831	0.073613	0.532982	0.670620	0.057980	0.534127	0.000000	0.000000	0.368063
0.835000	0.670831	0.074371	0.532982	0.670613	0.058696	0.534138	0.000000	0.000000	0.371855
0.840000	0.670831	0.075131	0.532982	0.670606	0.059415	0.534148	0.000000	0.000000	0.375655
