Time [s]	q1 [rad]	q2 [rad]	q3 [rad]	q4 [rad]	q5 [rad]	q6 [rad]	q7 [rad]
0.000000	0.000000	0.698132	0.000000	-1.047198	0.000000	1.308997	0.000000
0.005000	-0.000000	0.698132	0.000000	-1.047198	0.000000	1.308997	-0.000000
0.010000	-0.000000	0.698132	0.000000	-1.047197	0.000001	1.308997	-0.000000
0.015000	-0.000000	0.698132	0.000000	-1.047197	0.000002	1.308997	-0.000000
0.020000	-0.000000	0.698132	0.000001	-1.047197	0.000004	1.308998	-0.000000
0.025000	-0.000000	0.698132	0.000002	-1.047197	0.000009	1.308999	-0.000001
0.030000	-0.000000	0.698132	0.000004	-1.047196	0.000016	1.309000	-0.000001
0.035000	-0.000000	0.698132	0.000006	-1.047194	0.000027	1.309002	-0.000002
0.040000	-0.000000	0.698133	0.000009	-1.047193	0.000042	1.309005	-0.000002
0.045000	-0.000001	0.698133	0.000014	-1.047190	0.000062	1.309008	-0.000003
0.050000	-0.000001	0.698134	0.000020	-1.047187	0.000089	1.309013	-0.000004
0.055000	-0.000001	0.698134	0.000028	-1.047184	0.000123	1.309019	-0.000006
0.060000	-0.000002	0.698135	0.000038	-1.047179	0.000165	1.309027	-0.000007
0.065000	-0.000002	0.698136	0.000051	-1.047173	0.000216	1.309037	-0.000009
0.070000	-0.000003	0.698138	0.000066	-1.047167	0.000277	1.309048	-0.000010
0.075000	-0.000003	0.698139	0.000083	-1.047159	0.000349	1.309061	-0.000012
0.080000	-0.000004	0.698141	0.000105	-1.047150	0.000433	1.309077	-0.000014
0.085000	-0.000005	0.698143	0.000129	-1.047139	0.000530	1.309095	-0.000016
0.090000	-0.000007	0.698146	0.000158	-1.047127	0.000641	1.309116	-0.000018
0.095000	-0.000008	0.698149	0.000191	-1.047114	0.000766	1.309139	-0.000020
0.100000	-0.000010	0.698152	0.000228	-1.047100	0.000907	1.309165	-0.000022
0.105000	-0.000012	0.698156	0.000270	-1.047083	0.001064	1.309195	-0.000024
0.110000	-0.000014	0.698160	0.000317	-1.047065	0.001238	1.309227	-0.000026
0.115000	-0.000017	0.698164	0.000370	-1.047046	0.001429	1.309263	-0.000028
0.120000	-0.000019	0.698169	0.000428	-1.047025	0.001639	1.309302	-0.000030
0.125000	-0.000022	0.698175	0.000492	-1.047002	0.001868	1.309345	-0.000031
0.130000	-0.000026	0.698181	0.000563	-1.046977	0.002116	1.309392	-0.000033
0.135000	-0.000030	0.698188	0.000640	-1.046951	0.002384	1.309442	-0.000035
0.140000	-0.000034	0.698195	0.000725	-1.046923	0.002672	1.309496	-0.000037
0.145000	-0.000038	0.698203	0.000816	-1.046893	0.002981	1.309553	-0.000038
0.150000	-0.000043	0.698211	0.000915	-1.046862	0.003312	1.309615	-0.000039
0.155000	-0.000049	0.698220	0.001022	-1.046828	0.003664	1.309681	-0.000041
0.160000	-0.000055	0.698230	0.001137	-1.046793	0.004038	1.309750	-0.000042
0.165000	-0.000061	0.698240	0.001260	-1.046756	0.004435	1.309824	-0.000042
0.170000	-0.000068	0.698251	0.001392	-1.046718	0.004854	1.309902	-0.000043
0.175000	-0.000075	0.698262	0.001533	-1.046678	0.005295	1.309984	-0.000043
0.180000	-0.000083	0.698275	0.001682	-1.046636	0.005760	1.310069	-0.000044
0.185000	-0.000091	0.698288	0.001841	-1.046592	0.006247	1.310159	-0.000044
0.190000	-0.000100	0.698302	0.002010	-1.046547	0.006757	1.310253	-0.000043
