# Trial: 5
# Angle[deg]: -40
# Timestamp: 20260308_215037

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
5.33779, -2.3553, 15.0698, 0.0914669, 0.251881, 0.0256554
5.80945, -2.48048, 15.5452, 0.100933, 0.274389, 0.027456
6.27477, -2.61203, 16.0672, 0.107222, 0.293108, 0.0314088
6.73517, -2.64094, 16.2745, 0.105955, 0.31038, 0.035551
7.07837, -2.64401, 16.703, 0.102526, 0.322178, 0.0364689
7.34281, -2.5954, 16.6892, 0.100813, 0.333782, 0.0333859
7.55125, -2.59945, 16.6025, 0.0977207, 0.341517, 0.0285773
7.67721, -2.58604, 16.5072, 0.0969867, 0.347269, 0.0234014
7.72869, -2.57693, 16.2448, 0.100659, 0.348758, 0.0201663
7.88813, -2.63776, 16.2251, 0.111699, 0.365605, 0.027556
8.01424, -2.64965, 16.2578, 0.11093, 0.367645, 0.0343767
8.18336, -2.57813, 15.9269, 0.110088, 0.374211, 0.036294
8.42943, -2.59016, 16.0776, 0.101702, 0.380267, 0.037153
8.55307, -2.50291, 15.9379, 0.0969551, 0.384959, 0.0332519
8.62691, -2.45259, 15.7806, 0.0917992, 0.387912, 0.029324
8.64356, -2.44032, 15.3548, 0.0890586, 0.386734, 0.0245888
8.59112, -2.36811, 14.8008, 0.0894501, 0.387718, 0.0260169
8.69922, -2.39923, 15.0324, 0.0977929, 0.39114, 0.0334934
8.79079, -2.43244, 15.4183, 0.10172, 0.390717, 0.0337809
8.86091, -2.4846, 15.7104, 0.0989572, 0.392525, 0.0306555
8.84301, -2.44766, 15.4945, 0.0944973, 0.392311, 0.0304639
8.95437, -2.34304, 15.1491, 0.0855663, 0.397925, 0.0276266
8.89816, -2.25879, 14.4998, 0.0767754, 0.395097, 0.0242299
8.81234, -2.21427, 14.1827, 0.0758208, 0.389322, 0.0199723
8.73521, -2.16587, 13.5964, 0.0728276, 0.388846, 0.0159036
8.83742, -2.06796, 13.0062, 0.0744273, 0.392982, 0.0176299
8.90554, -2.07247, 12.4798, 0.0781908, 0.403418, 0.0296629
8.96437, -2.10899, 12.5583, 0.0872825, 0.408217, 0.0359527
9.06254, -2.13815, 12.848, 0.0917711, 0.409812, 0.0388236
9.15251, -2.11515, 12.9036, 0.0917238, 0.416273, 0.0416859
9.23266, -2.05719, 12.9105, 0.0869257, 0.418669, 0.0409497
9.22697, -1.98741, 12.7424, 0.0825925, 0.417817, 0.0344555
9.08265, -1.97332, 12.7278, 0.0782209, 0.407669, 0.0280614
8.86613, -1.90849, 12.4409, 0.0714135, 0.396625, 0.0180225
8.96969, -1.93566, 12.506, 0.0751215, 0.397739, 0.0106844
9.1521, -1.98833, 12.8522, 0.0792725, 0.408741, 0.0270907
9.24025, -2.00202, 12.8765, 0.0808544, 0.417643, 0.0345309
9.1874, -1.9725, 12.8243, 0.0820392, 0.416043, 0.035782
9.18801, -1.90287, 12.9558, 0.0779843, 0.420865, 0.0341256
9.38878, -1.89531, 13.0209, 0.0716793, 0.425236, 0.0290444
9.48409, -1.81451, 12.3326, 0.0616667, 0.42473, 0.0229591
9.30385, -1.79443, 12.452, 0.0644055, 0.413356, 0.024464
9.25627, -1.75826, 11.7899, 0.0648645, 0.416115, 0.0253425
9.38831, -1.73235, 11.2598, 0.0702346, 0.429756, 0.0336635
9.52591, -1.75961, 11.8462, 0.0744708, 0.433939, 0.0382534
9.58682, -1.73837, 11.9909, 0.075983, 0.438357, 0.0400933
9.72122, -1.73957, 12.1684, 0.0711956, 0.441743, 0.0397568
9.70303, -1.6258, 11.6641, 0.0663694, 0.443159, 0.0381866
9.65197, -1.59559, 12.0456, 0.067571, 0.437285, 0.0336524
9.52733, -1.53219, 11.7356, 0.061964, 0.430928, 0.0280984
9.30211, -1.5438, 11.9267, 0.0560564, 0.41119, 0.0205525
9.06545, -1.53863, 12.1613, 0.0560628, 0.393942, 0.0109411
8.82033, -1.61397, 12.8025, 0.0574467, 0.379021, 0.0046717
8.7208, -1.64388, 12.5491, 0.058192, 0.379116, 0.00131605
8.59865, -1.6657, 12.6155, 0.0668506, 0.37437, 0.0126485
8.59134, -1.65194, 12.6764, 0.0729912, 0.374885, 0.0195188
8.49201, -1.6155, 12.3744, 0.0701513, 0.372709, 0.0223073
8.59673, -1.57389, 12.1746, 0.0651242, 0.379617, 0.0211042
8.54885, -1.57638, 12.3398, 0.0654092, 0.378838, 0.0251977
8.48871, -1.58142, 12.2691, 0.0625387, 0.375271, 0.0165589
8.63518, -1.54915, 12.2861, 0.0589185, 0.386387, 0.00787369
8.87961, -1.56139, 12.3703, 0.0601293, 0.399176, 0.022769
9.02234, -1.56998, 12.2945, 0.0627631, 0.41754, 0.029231
9.22446, -1.63141, 12.8375, 0.066265, 0.425287, 0.0356273
9.48056, -1.60152, 12.6148, 0.0622572, 0.437056, 0.039266
9.65217, -1.53644, 12.5995, 0.0644585, 0.443241, 0.0430209
9.77201, -1.49499, 12.4124, 0.0643376, 0.449812, 0.0451231
9.80888, -1.42209, 12.1305, 0.0620756, 0.452625, 0.0415685
9.8952, -1.36451, 12.1253, 0.061147, 0.456875, 0.0369292
9.9281, -1.31195, 11.9352, 0.0581211, 0.462111, 0.0264074
9.78517, -1.34242, 11.9417, 0.0526735, 0.448402, 0.013402
9.4305, -1.29365, 11.9017, 0.0424107, 0.412978, -0.00243335
9.24957, -1.24837, 11.6324, 0.0374119, 0.410139, -0.0124435
9.18046, -1.2791, 11.6311, 0.0389076, 0.408774, -0.0145321
9.22121, -1.27628, 11.5334, 0.0396804, 0.411714, -0.013491
9.05814, -1.29371, 11.4149, 0.0497047, 0.403773, -0.00881779
9.04569, -1.34603, 11.4564, 0.0568485, 0.404257, -0.00413332
9.04871, -1.31865, 11.3573, 0.0623674, 0.40779, 0.00442302
9.15467, -1.30318, 11.5138, 0.0544465, 0.414936, 0.00156902
9.10678, -1.30852, 11.4909, 0.0458691, 0.408243, -0.00318131
9.16842, -1.32228, 11.6973, 0.0492816, 0.411625, -0.00279242
9.17848, -1.37045, 12.0683, 0.0564801, 0.411776, 0.00953807
9.09276, -1.38111, 12.1484, 0.0548689, 0.403, 0.0083097
8.97181, -1.38599, 12.3294, 0.0569742, 0.388371, -0.0010189
9.04684, -1.43188, 12.7853, 0.0516954, 0.389484, -0.0105323
9.1735, -1.42695, 13.0222, 0.0464863, 0.395633, -0.0044751
9.19522, -1.36445, 12.7541, 0.0407531, 0.398497, -0.00240398
9.16334, -1.34034, 12.2886, 0.0420778, 0.397158, -0.012165
9.30554, -1.3335, 12.0758, 0.0451449, 0.411521, -0.00891439
9.38519, -1.39117, 12.6586, 0.0493379, 0.415411, 0.0107044
9.47571, -1.43497, 13.1884, 0.0591029, 0.420185, 0.0110691
9.56064, -1.43207, 13.2518, 0.0525975, 0.423454, 0.013438
9.49234, -1.35999, 12.8602, 0.0429018, 0.419991, 0.00781968
9.29947, -1.3586, 12.8689, 0.0425546, 0.407756, -0.0034875
9.48963, -1.38507, 13.1347, 0.0490769, 0.419835, 0.00340751
9.58046, -1.38779, 13.5171, 0.0497874, 0.431317, 0.0206605
9.49857, -1.36316, 13.239, 0.045488, 0.427593, 0.0204593
9.32014, -1.36566, 12.7865, 0.0391, 0.416611, 0.00537955
9.1061, -1.35218, 12.8498, 0.0443644, 0.399413, 0.00343948
9.08325, -1.37077, 12.8911, 0.0428698, 0.406094, 0.000264272
9.12507, -1.34853, 12.659, 0.0387051, 0.406962, 0.0115869
9.05649, -1.30731, 12.1887, 0.0343248, 0.404432, 0.00712889
8.87112, -1.28327, 12.2635, 0.0352856, 0.387911, -0.00092512
8.85693, -1.28099, 12.2891, 0.0371366, 0.386736, -0.00267785
8.91642, -1.21852, 11.8015, 0.0254217, 0.399157, 0.00584911
8.90114, -1.20581, 11.8014, 0.0248127, 0.397102, 0.00567715
8.90242, -1.25239, 11.7953, 0.0296541, 0.395171, -0.0115786
8.96325, -1.32049, 12.2843, 0.0355099, 0.393788, -0.0165592
8.99145, -1.32538, 12.5717, 0.0336294, 0.39533, -0.0151597
9.01006, -1.25798, 12.2533, 0.0282247, 0.402258, -0.00912725
9.01782, -1.27471, 12.2772, 0.0282776, 0.400542, -0.00286111
9.062, -1.26236, 12.4103, 0.0289155, 0.404428, -0.00385278
9.07093, -1.29191, 12.5262, 0.0282897, 0.40328, -0.00455284
9.11353, -1.31273, 12.7615, 0.0316363, 0.406005, -0.00215722
9.26689, -1.333, 13.0355, 0.0346329, 0.41733, -0.00534599
9.39974, -1.36919, 13.2554, 0.0377105, 0.421053, -4.83575e-05
9.46319, -1.33806, 12.8488, 0.0305148, 0.430597, -0.0017716
9.62213, -1.35703, 13.3431, 0.0314691, 0.441819, 0.00117323
9.84996, -1.40611, 13.8445, 0.0413231, 0.45847, 0.0107768
10.0547, -1.41546, 14.1818, 0.0475212, 0.465583, 0.0173132
10.2343, -1.46677, 14.5269, 0.0459706, 0.473629, 0.0139285
10.3762, -1.45375, 14.6876, 0.0439384, 0.476318, 0.0143961
10.4083, -1.49181, 15.0602, 0.0447566, 0.47247, 0.0198197
10.4403, -1.54536, 15.1983, 0.0531412, 0.473432, 0.0224344
10.4131, -1.56792, 15.346, 0.0614401, 0.470925, 0.0254653
10.2943, -1.57797, 15.1541, 0.0647808, 0.464538, 0.0295834
10.1784, -1.5621, 15.0781, 0.0658539, 0.458372, 0.0336235
10.0408, -1.48654, 14.8098, 0.0591221, 0.451123, 0.0344649
9.90597, -1.42921, 14.287, 0.0511137, 0.445387, 0.0315533
9.73465, -1.38341, 13.877, 0.0432525, 0.43547, 0.024297
9.60011, -1.36164, 13.9579, 0.041039, 0.42666, 0.0143987
9.43837, -1.42267, 14.3463, 0.0427797, 0.415077, 0.0160527
9.39005, -1.38113, 14.1758, 0.0371128, 0.41448, 0.0165916
9.31343, -1.343, 14.0043, 0.0340111, 0.408873, 0.0152238
9.26256, -1.34025, 13.7928, 0.0351035, 0.403574, 0.00857148
9.26262, -1.34709, 13.8011, 0.042785, 0.40476, 0.00669571
9.22609, -1.31807, 13.5144, 0.0405882, 0.408818, 0.0169065
9.16563, -1.29639, 13.4521, 0.0398814, 0.407181, 0.0267889
9.15391, -1.29609, 13.309, 0.0357407, 0.410024, 0.0182403
9.17062, -1.27819, 12.929, 0.0398056, 0.412099, 0.0136465
9.22359, -1.28759, 12.741, 0.0443018, 0.421309, 0.013829
9.28147, -1.35093, 12.8128, 0.0579944, 0.433431, 0.022181
9.42148, -1.42679, 12.9959, 0.0722313, 0.444384, 0.0250241
9.51907, -1.47968, 12.7583, 0.0797629, 0.449813, 0.0191498
9.54627, -1.47931, 12.5318, 0.0781823, 0.447151, 0.0260623
9.56358, -1.41251, 12.5549, 0.0766461, 0.441968, 0.0222816
9.64483, -1.44094, 12.1272, 0.0816218, 0.446562, 0.00505777
9.64209, -1.43926, 12.2086, 0.0772442, 0.441674, 0.00624411
9.60192, -1.38554, 11.9054, 0.0675758, 0.442784, 0.00938441
9.66694, -1.42044, 12.152, 0.0733259, 0.450005, 0.0141535
9.75336, -1.43239, 12.3739, 0.0785533, 0.45858, 0.0120488
9.87192, -1.48125, 12.6546, 0.0757858, 0.463066, 0.00661526
9.91989, -1.46971, 12.783, 0.0707082, 0.465123, 0.00138045
9.86196, -1.45918, 12.7357, 0.067257, 0.460773, -0.0011529
9.85003, -1.45092, 12.8247, 0.0580577, 0.462094, -0.000290258
9.90791, -1.42784, 12.9899, 0.0533834, 0.462685, 0.0051294
9.77521, -1.43671, 13.3899, 0.0521181, 0.451898, 0.0105596
9.71244, -1.45417, 13.7366, 0.0501562, 0.445027, 0.00729035
9.75295, -1.49783, 13.9796, 0.0500988, 0.441241, -0.00132192
9.81547, -1.47964, 14.0608, 0.0471685, 0.445806, 0.000397933
9.84009, -1.48974, 14.1941, 0.0421216, 0.446543, 0.00973907
9.80028, -1.45873, 14.189, 0.0381315, 0.445665, 0.00484038
9.76097, -1.49634, 14.3771, 0.0392654, 0.442569, 0.00421456
9.82404, -1.47055, 14.5541, 0.0403221, 0.446957, 0.0119985
9.90689, -1.50998, 14.8923, 0.040815, 0.450077, 0.0099569
9.93252, -1.52214, 15.1237, 0.04376, 0.452106, 0.00810327
9.89036, -1.5527, 15.2253, 0.0444539, 0.44905, 0.00125345
9.90682, -1.54381, 15.1831, 0.0448082, 0.449596, 0.00411965
9.91836, -1.53493, 15.3491, 0.0457133, 0.454042, 0.0190942
9.88197, -1.54746, 15.2621, 0.0481696, 0.445289, 0.0206862
9.81666, -1.52461, 14.7153, 0.0502654, 0.439753, 0.000119538
9.8141, -1.50982, 14.8544, 0.0499381, 0.44361, -0.00405039
9.76785, -1.52989, 14.5864, 0.0476636, 0.443956, 0.00645042
9.73782, -1.52483, 14.8707, 0.0589144, 0.442933, 0.021324
9.83311, -1.63965, 15.0475, 0.0701109, 0.44732, 0.0170625
9.86078, -1.6811, 15.4016, 0.0708797, 0.444118, 0.0122937
9.78269, -1.64961, 15.2988, 0.0607032, 0.433318, 0.00835026
9.81279, -1.57064, 14.9689, 0.058003, 0.440083, 0.00168833
9.91141, -1.61303, 14.8447, 0.0643914, 0.444743, 0.0120608
9.99466, -1.63681, 15.0766, 0.0728567, 0.455603, 0.020158
10.1118, -1.69203, 15.258, 0.0764885, 0.460579, 0.0224903
10.0214, -1.64507, 14.8931, 0.0695941, 0.451439, 0.00616129
9.98891, -1.57593, 15.0127, 0.062443, 0.447443, 0.00101867
10.0936, -1.59505, 15.0645, 0.0590291, 0.457487, 0.0100164
10.2026, -1.55319, 15.1203, 0.0586893, 0.464305, 0.0229375
10.1817, -1.52139, 14.6833, 0.0616671, 0.464317, 0.024471
10.1065, -1.53764, 14.4281, 0.0628108, 0.461869, 0.0190904
10.0522, -1.49385, 14.3964, 0.0600314, 0.457304, 0.0236126
10.0756, -1.44944, 14.1128, 0.0551114, 0.459571, 0.0280503
10.1954, -1.4591, 14.2012, 0.0502312, 0.463755, 0.0282342
10.1525, -1.39847, 13.9399, 0.0455606, 0.460563, 0.0271079
10.2209, -1.39388, 14.0802, 0.0465965, 0.464453, 0.0242462
10.3826, -1.42626, 14.4325, 0.0432404, 0.478065, 0.0293248
10.5429, -1.43408, 14.5253, 0.0435239, 0.479966, 0.0334632
10.6082, -1.44024, 14.5473, 0.0410597, 0.484969, 0.0291046
10.6865, -1.39415, 14.2652, 0.0415374, 0.48908, 0.0249585
10.7633, -1.39446, 14.3364, 0.0386261, 0.49542, 0.0255994
10.8482, -1.43342, 14.6656, 0.0419696, 0.498662, 0.0230987
11.0778, -1.4476, 14.9656, 0.0410861, 0.508602, 0.019783
11.174, -1.48763, 15.1477, 0.0425927, 0.511593, 0.0230353
11.2754, -1.4518, 15.1464, 0.0393167, 0.514789, 0.0229514
11.3697, -1.44772, 15.2051, 0.0434341, 0.51898, 0.0281724
11.4505, -1.46497, 15.1747, 0.0478057, 0.52336, 0.0241827
11.6286, -1.52465, 15.7169, 0.0529015, 0.529612, 0.0293068
11.7312, -1.52833, 15.5997, 0.0509478, 0.533887, 0.0294616
11.8496, -1.51917, 15.8899, 0.0483853, 0.537444, 0.0343789
11.8538, -1.50229, 15.8136, 0.0511777, 0.537395, 0.0386741
12.0203, -1.51431, 16.0824, 0.0560737, 0.544241, 0.0389476
12.121, -1.54247, 16.4847, 0.0597922, 0.542062, 0.0376582
12.2032, -1.56992, 16.6184, 0.0578375, 0.546411, 0.0377898
12.341, -1.54391, 16.9068, 0.0629679, 0.551046, 0.0397528
12.4053, -1.56157, 17.0867, 0.0627047, 0.553516, 0.0409393
12.472, -1.56329, 17.2813, 0.0610804, 0.557425, 0.0391353
12.3828, -1.54053, 17.3251, 0.0616937, 0.550602, 0.0373062
12.2799, -1.5548, 17.3866, 0.0644555, 0.544565, 0.0348325
12.18, -1.50655, 17.0802, 0.0635652, 0.541042, 0.0326014
12.0099, -1.49806, 16.8218, 0.0596663, 0.533647, 0.0335749
11.8943, -1.42239, 16.4397, 0.0611985, 0.529416, 0.0362506
11.8449, -1.45797, 16.4755, 0.0618452, 0.529447, 0.0357221
11.8084, -1.49504, 16.7459, 0.066096, 0.527193, 0.0364624
11.8208, -1.52179, 17.1044, 0.0634452, 0.526851, 0.037172
11.8034, -1.50894, 16.912, 0.0620469, 0.523515, 0.0324138
11.7144, -1.44548, 16.4509, 0.0556203, 0.522248, 0.0191436
11.6301, -1.42634, 16.4502, 0.0476277, 0.512846, 0.00916917
11.7028, -1.41425, 16.5729, 0.0471966, 0.515196, 0.00678847
11.8903, -1.43123, 16.8754, 0.0494384, 0.525363, 0.0152178
11.9741, -1.44128, 16.9702, 0.0539277, 0.533267, 0.0304589
12.0281, -1.42065, 16.8764, 0.0543669, 0.532147, 0.0164319
12.0183, -1.40943, 16.7293, 0.0482749, 0.528707, 0.00348038
12.0907, -1.3964, 16.8215, 0.043983, 0.534794, 0.00771178
12.1008, -1.44248, 16.8228, 0.0436694, 0.535155, 0.00897472
12.1816, -1.42474, 16.9347, 0.0489937, 0.539776, 0.0039504
12.1037, -1.48195, 17.0786, 0.0512129, 0.53435, 0.00332458
12.0872, -1.51988, 17.0561, 0.0520483, 0.532646, -0.00200966
