# Trial: 3
# Angle[deg]: 20
# Timestamp: 20260308_204349

Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
1.33716, -0.389824, -6.97927, 0.0012147, 0.0782533, -0.00528712
1.37113, -0.390452, -6.9198, 0.00246996, 0.0794594, -0.00875147
1.34608, -0.416567, -6.92905, 0.00243166, 0.0799372, -0.00923323
1.33245, -0.426518, -7.0357, 0.00335124, 0.0783465, -0.00870243
1.33073, -0.419796, -6.97574, 0.00396238, 0.0774641, -0.00215146
1.31144, -0.41517, -6.85655, 0.00327012, 0.0775286, 0.000894049
1.34368, -0.384064, -6.71183, 0.00622174, 0.0800561, 0.00239867
1.39099, -0.391608, -6.69504, 0.0107421, 0.079178, 0.00054357
1.47173, -0.367543, -6.50379, 0.00993171, 0.0811058, -0.00501709
1.63716, -0.358709, -6.37369, 0.00860244, 0.0884222, -0.00827162
1.83905, -0.335133, -6.18003, 0.00923504, 0.0951191, -0.0107554
2.10798, -0.330774, -5.67203, 0.00700483, 0.106908, -0.0113546
2.54455, -0.289286, -5.12065, 0.00430653, 0.125684, -0.012167
3.03219, -0.268423, -4.56001, 0.00364026, 0.146379, -0.0127856
3.46059, -0.248091, -4.38093, 0.00688563, 0.163555, -0.0106825
4.07139, -0.295486, -4.78951, 0.00393402, 0.193247, -0.0124441
4.63241, -0.344332, -5.43798, 0.00565274, 0.217343, -0.0134564
5.06353, -0.423462, -5.85256, 0.00609169, 0.235571, -0.0140989
5.44497, -0.496475, -6.0166, 0.00744321, 0.255989, -0.0150955
5.82648, -0.544645, -5.85021, 0.0101424, 0.270371, -0.0175733
6.08963, -0.624339, -5.76044, 0.0112735, 0.2858, -0.0160051
6.44076, -0.634748, -5.47395, 0.0108498, 0.299019, -0.0140394
6.74853, -0.649214, -5.42346, 0.00782567, 0.313717, -0.0055149
6.95901, -0.599095, -5.25646, 0.0074962, 0.324022, 0.00238793
7.21483, -0.52941, -4.94465, 0.00632726, 0.334318, 0.00269198
7.4737, -0.51635, -4.80399, 0.00988662, 0.344798, 0.000922182
7.73205, -0.547283, -4.52874, 0.0118639, 0.352015, -0.010361
7.86203, -0.553363, -4.38061, 0.00961004, 0.359923, -0.0134963
7.99729, -0.622115, -4.65955, 0.0120006, 0.368343, -0.0146102
8.21755, -0.654912, -4.45579, 0.010118, 0.377392, -0.0155171
8.33624, -0.684292, -4.41183, 0.0104301, 0.381461, -0.0159246
8.53559, -0.742475, -4.36836, 0.0131671, 0.39126, -0.0167324
8.75492, -0.822743, -4.38858, 0.0166462, 0.401437, -0.0187372
8.98139, -0.911138, -4.69409, 0.0215594, 0.411886, -0.0196038
9.21632, -0.995098, -4.70293, 0.0244636, 0.421282, -0.0189385
9.49397, -1.02316, -4.33673, 0.02622, 0.431378, -0.018806
9.6039, -1.05889, -3.93262, 0.0280361, 0.43579, -0.0174147
9.81904, -1.08216, -3.59062, 0.0306839, 0.442637, -0.0149603
9.97609, -1.0747, -3.54605, 0.0368637, 0.450823, -0.00543819
10.1759, -1.04263, -3.44368, 0.0365742, 0.459647, 0.000143604
10.3114, -0.987029, -3.06737, 0.0324936, 0.462342, 0.00187284
10.4251, -0.926431, -2.85206, 0.0321139, 0.468005, 0.00338864
10.532, -0.888007, -2.86238, 0.0296394, 0.470389, 0.00300076
10.5545, -0.888185, -2.76938, 0.0303926, 0.472024, -0.00284857
10.6778, -0.893323, -2.62719, 0.0294371, 0.475097, -0.0128961
10.8186, -0.929523, -2.54964, 0.0275755, 0.480977, -0.015194
10.9791, -0.953387, -2.41645, 0.0243012, 0.488386, -0.0150031
11.0075, -1.00128, -2.45498, 0.0244639, 0.492694, -0.0177752
10.986, -1.09964, -2.65285, 0.0297411, 0.495894, -0.0198432
10.9631, -1.24256, -2.61718, 0.0331853, 0.493901, -0.0214482
11.0513, -1.3216, -2.58713, 0.0370629, 0.498684, -0.0184084
11.164, -1.37593, -2.58733, 0.035523, 0.50494, -0.0178484
11.2789, -1.42583, -2.88686, 0.0327317, 0.510485, -0.0115983
11.2364, -1.38032, -2.7969, 0.0297214, 0.51007, -0.00102093
11.1878, -1.38197, -2.76033, 0.0307833, 0.509171, -0.000608875
11.1104, -1.33033, -2.74091, 0.0312154, 0.50426, -0.00900376
11.1086, -1.36991, -2.92165, 0.0294277, 0.505092, -0.0106129
