Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
0.298031, 0.741963, -0.0395536, 0.00648036, -0.00321159, -0.000708754
0.290887, 0.746478, -0.0744721, 0.00964495, -0.00520645, -0.000375223
0.28574, 0.760512, -0.0380723, 0.00904782, -0.00530938, 0.000380533
0.255719, 0.732373, -0.110569, 0.00924566, -0.00371686, -0.000688756
0.253727, 0.743164, -0.0212936, 0.00679513, -0.00431105, -0.000596899
0.249305, 0.746465, -0.0483522, 0.00761518, -0.00380928, -0.000894275
0.249616, 0.741038, -0.101882, 0.00780522, -0.00335226, -0.000700619
0.26986, 0.752363, -0.0121837, 0.00844652, -0.00422134, -0.00058899
0.287942, 0.752724, -0.0394379, 0.00610321, -0.00398927, -0.00056097
0.278552, 0.729504, 0.00490639, 0.00738164, -0.00416304, -0.00137988
0.295402, 0.750535, -0.129043, 0.00942949, -0.00391639, -0.00111923
0.258944, 0.74102, -0.0214226, 0.00728244, -0.00348095, -0.000748073
0.260061, 0.764164, -0.075553, 0.00885541, -0.00395164, -0.00133808
0.268615, 0.746598, 0.00524001, 0.00708336, -0.00405503, -0.000916985
0.263063, 0.743325, -0.0303858, 0.00601136, -0.0042741, -0.000585261
0.281617, 0.757977, -0.101113, 0.0103112, -0.00509799, -0.000206423
0.270496, 0.747782, -0.138126, 0.00941943, -0.00301308, -0.00128678
0.269046, 0.740411, 0.00590724, 0.00726628, -0.0045012, -0.000289467
0.280718, 0.740184, -0.0388908, 0.00957818, -0.00567896, -0.000720617
0.281123, 0.781161, -0.0749837, 0.0100788, -0.0051164, -0.000852583
0.243247, 0.748934, -0.0402431, 0.00661458, -0.00433376, -0.00169104
0.25922, 0.728917, -0.0299632, 0.00739169, -0.00421637, -0.000429003
0.265617, 0.749534, -0.0207198, 0.00919256, -0.00401706, -0.000271051
0.26458, 0.755121, -0.00355413, 0.00822631, -0.00430958, -0.000912917
0.270176, 0.752515, -0.146435, 0.00844144, -0.0042001, -0.000499958
