# Trial: 5
# Timestamp: 20260302_161204
# q[deg]=78.48, 96.01, -24.32, -74.88, 72.52, -64.96, 9.77
# Px[m]=0.448811, Py[m]=0.479717, Pz[m]=-0.0430718
# A(Z)[deg]=97.7155, B(Y)[deg]=79.8713, C(X)[deg]=87.0957
Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
-0.120552, 0.457309, -0.193303, 0.00205982, -0.0036022, -0.00578189
-0.128741, 0.447755, -0.203348, 0.000992424, -0.00131673, -0.00391244
-0.143159, 0.422023, -0.192004, -9.67709e-05, -0.00145846, -0.00393424
-0.0931605, 0.449126, -0.183001, 0.000814151, -0.00317837, -0.00344797
-0.149428, 0.455526, -0.156479, 0.000195859, -0.00139092, -0.0047155
-0.207163, 0.426082, -0.205408, 0.000670209, -0.00356323, -0.00446997
-0.0884544, 0.470276, -0.189744, 0.000147037, -0.00212256, -0.00399178
-0.208252, 0.430507, -0.181323, 8.19311e-05, -0.00291703, -0.00710097
-0.16415, 0.43652, -0.168239, 0.0003765, -0.00235719, -0.00308206
-0.157633, 0.451063, -0.192756, 0.000121991, -0.00335301, -0.00569876
-0.230664, 0.454004, -0.196733, 0.000252505, -0.00199459, -0.00669787
-0.178528, 0.473122, -0.185625, 0.0013346, -0.00198564, -0.00765936
-0.165199, 0.443474, -0.169364, -1.67452e-06, -0.00100153, -0.00607077
-0.131077, 0.452309, -0.171284, -7.34538e-05, -0.00260089, -0.00348215
-0.134084, 0.477033, -0.194973, 0.00110214, -0.00263724, -0.00663621
-0.149126, 0.452801, -0.161139, 0.00023851, -0.00251706, -0.00381521
-0.208749, 0.431257, -0.179867, -0.000210434, -0.00144223, -0.00527184
-0.112964, 0.460914, -0.202477, 0.00110328, -0.00360225, -0.00575563
-0.0939815, 0.455137, -0.212734, 0.000805379, -0.00297022, -0.00418035
-0.191428, 0.439492, -0.178617, 0.000699742, -0.00214855, -0.00469368
-0.148645, 0.458869, -0.177957, 0.00138667, -0.00245682, -0.00674366
-0.0940421, 0.457465, -0.193582, 0.0010244, -0.00241634, -0.00575349
-0.0792379, 0.475666, -0.19475, 0.00125814, -0.00208507, -0.00430389
-0.158573, 0.457825, -0.201446, 0.000631147, -0.00435774, -0.00541746
-0.118948, 0.439241, -0.185822, 8.25993e-06, -0.00289231, -0.00593687
-0.0969789, 0.472438, -0.180965, 0.000993334, -0.00227786, -0.00595215
-0.0855505, 0.453262, -0.177652, -0.00012828, -0.0024101, -0.00412743
-0.0837176, 0.451582, -0.200008, 0.00105607, -0.00258952, -0.00593492
-0.154038, 0.432186, -0.186148, 0.000170357, -0.00364644, -0.0058026
-0.107405, 0.4781, -0.204204, 0.000751207, -0.00260554, -0.00523273
-0.111558, 0.455276, -0.189135, 0.00143395, -0.0036781, -0.00653736
-0.0760902, 0.453263, -0.16797, 0.000246248, -0.00192229, -0.00406051
-0.0629715, 0.482456, -0.183622, 0.000653517, -0.00236625, -0.00441801
-0.146185, 0.437829, -0.173756, 0.000269464, -0.00265558, -0.00361643
-0.201505, 0.442495, -0.169168, -9.07102e-05, -0.00121622, -0.0067007
-0.123127, 0.465661, -0.18654, 0.000870662, -0.002361, -0.00592318
-0.180054, 0.432096, -0.177312, 0.00119988, -0.00216899, -0.00722984
-0.215944, 0.423181, -0.181847, 0.000230926, -0.00287724, -0.00623727
-0.0971149, 0.476066, -0.185258, 0.00163542, -0.00230596, -0.00547739
-0.165353, 0.448593, -0.199339, 0.000700178, -0.00204966, -0.00676576
-0.165088, 0.442291, -0.168632, 0.000266383, -0.00251261, -0.00501631
-0.176823, 0.457272, -0.165084, 0.000731975, -0.00247384, -0.00392154
-0.202803, 0.45137, -0.172315, 0.000482243, -0.00174065, -0.00611692
-0.14571, 0.436466, -0.18057, 8.88645e-05, -0.00240485, -0.00563261
-0.157448, 0.449486, -0.167722, 0.000127536, -0.0026377, -0.00536934
-0.121958, 0.455571, -0.198507, 4.73558e-05, -0.00385925, -0.00679464
-0.0665872, 0.452909, -0.203628, 0.00036545, -0.00244782, -0.00428231
-0.15689, 0.447796, -0.187971, 0.000265254, -0.00246145, -0.00499437
-0.253878, 0.429243, -0.195458, -0.00053252, -0.00111499, -0.00681026
